symbol,current_price,price_change_percentage_24h,market_cap,total_volume,high_24h,low_24h,tendencia
btc,122080.0,1.47976,2433107962907,71870979466.0,123855.0,120045.0,Tendencia moderada alcista
eth,4488.8,-0.01046,541625815767,37408192227.0,4583.89,4446.2,Tendencia estable
xrp,2.99,-1.45157,179184530533,5637985420.0,3.09,2.99,Tendencia moderada bajista
usdt,1.0,-0.01419,176315067898,123241365763.0,1.001,1.0,Tendencia estable
bnb,1148.12,3.64527,159801529125,4484097700.0,1190.05,1104.21,Tendencia moderada alcista
sol,228.93,-0.62953,124867062633,8044993268.0,236.41,228.01,Tendencia estable
usdc,0.999761,0.00618,75385775292,17021512655.0,0.999901,0.999609,Tendencia estable
steth,4486.09,0.02203,38230868619,35087705.0,4578.76,4441.09,Tendencia estable
doge,0.249931,-2.25381,37790542380,2862324350.0,0.264548,0.249155,Tendencia moderada bajista
trx,0.340401,-0.78238,32224665957,673836955.0,0.345765,0.340069,Tendencia estable
ada,0.844643,-1.19313,30862525239,1306757893.0,0.889768,0.842329,Tendencia moderada bajista
wsteth,5452.5,0.04332,17644924480,16379887.0,5565.3,5401.98,Tendencia estable
wbeth,4843.31,0.19115,15797568514,6185281.0,4947.11,4794.88,Tendencia estable
wbtc,121980.0,1.32503,15494134798,381490009.0,123736.0,120115.0,Tendencia moderada alcista
link,21.93,-1.88855,14870682511,961756521.0,23.04,21.8,Tendencia moderada bajista
usde,1.0,-0.00704,14823556417,471595877.0,1.002,0.999547,Tendencia estable
hype,48.39,-1.23178,13092581827,518349900.0,50.75,47.89,Tendencia moderada bajista
figr_heloc,1.009,0.0564,12943728044,16646092.0,1.02,0.996732,Tendencia estable
avax,30.31,0.22397,12799902061,1050508080.0,31.47,30.12,Tendencia estable
sui,3.52,-1.6008,12755554847,1139183380.0,3.66,3.5,Tendencia moderada bajista
xlm,0.395323,-1.75344,12641735968,269856007.0,0.413313,0.395354,Tendencia moderada bajista
weeth,4839.11,0.04277,11891266347,20171413.0,4938.51,4792.12,Tendencia estable
bch,589.48,-1.46463,11750872299,296972602.0,615.0,588.1,Tendencia moderada bajista
weth,4490.18,-0.00329,10953613349,71609334.0,4582.25,4446.63,Tendencia estable
hbar,0.219291,-1.66501,9296007909,252082336.0,0.229458,0.219033,Tendencia moderada bajista
ltc,118.03,0.04051,9013606556,967067730.0,123.66,117.76,Tendencia estable
leo,9.65,0.359,8893283529,556121.0,9.66,9.61,Tendencia estable
bsc-usd,1.0,0.02554,7985666870,2836304672.0,1.007,0.994855,Tendencia estable
usds,0.999456,-0.02908,7952409818,137374033.0,1.001,0.998875,Tendencia estable
cbbtc,122088.0,1.54403,7892071905,495285880.0,123957.0,120079.0,Tendencia moderada alcista
cro,0.210816,-0.59094,7342454354,49861447.0,0.219955,0.210206,Tendencia estable
shib,1.245e-05,0.14406,7333289382,202758922.0,1.286e-05,1.238e-05,Tendencia estable
ton,2.8,-0.01628,7062176193,161051415.0,2.88,2.79,Tendencia estable
usdt0,0.999968,-0.05659,6818882849,552899923.0,1.002,0.99948,Tendencia estable
dot,4.22,-0.4115,6421890847,274748016.0,4.37,4.2,Tendencia estable
wbt,44.21,1.17922,6371533671,80211748.0,44.56,43.54,Tendencia moderada alcista
mnt,1.94,-0.36911,6314473767,186989656.0,1.98,1.91,Tendencia estable
xmr,324.77,-1.58361,5996624336,182245252.0,331.99,320.66,Tendencia moderada bajista
susde,1.2,0.08524,5815497616,61355136.0,1.2,1.2,Tendencia estable
wlfi,0.201451,0.71392,5506930587,231585531.0,0.205928,0.199183,Tendencia estable
uni,7.96,-3.27413,4780249343,296318834.0,8.48,7.94,Tendencia moderada bajista
okb,223.43,16.25405,4691484303,570231040.0,236.15,191.15,Tendencia fuerte alcista
dai,0.999916,-0.01342,4562318457,76801110.0,1.002,0.997486,Tendencia estable
aave,283.04,-1.08853,4316358128,441534965.0,297.13,282.77,Tendencia moderada bajista
pepe,9.9e-06,-0.80433,4171495407,688138518.0,1.037e-05,9.87e-06,Tendencia estable
ena,0.594139,-2.95296,4096948991,359423263.0,0.634117,0.59321,Tendencia moderada bajista
bgb,5.5,4.96296,3852575671,347771249.0,5.59,5.24,Tendencia moderada alcista
m,2.18,2.15024,3677050490,16363320.0,2.19,1.95,Tendencia moderada alcista
near,2.94,0.53515,3675942744,303463914.0,3.07,2.92,Tendencia estable
apt,5.17,-2.03962,3643090358,981168256.0,5.54,5.13,Tendencia moderada bajista
jitosol,282.59,-0.5973,3496970372,10330779.0,291.6,281.1,Tendencia estable
aster,2.05,6.68215,3413087408,1178545389.0,2.27,1.89,Tendencia fuerte alcista
ip,9.85,4.30363,3088856439,127293730.0,10.37,9.33,Tendencia moderada alcista
tao,317.34,-1.99374,3045995025,76537534.0,329.96,316.32,Tendencia moderada bajista
etc,19.44,-1.0589,2989010612,69152723.0,20.19,19.37,Tendencia moderada bajista
ondo,0.921668,-2.77065,2912808293,161936858.0,0.978453,0.9196,Tendencia moderada bajista
bnsol,246.36,-0.37905,2809579990,7320406.0,254.24,244.93,Tendencia estable
buidl,1.0,0.0,2799827452,0.0,1.0,1.0,Tendencia estable
wld,1.29,-3.12967,2776396064,255769103.0,1.39,1.28,Tendencia moderada bajista
weth,4486.42,0.05425,2713380131,83703247.0,4579.17,4447.3,Tendencia estable
usd1,0.999857,-0.04771,2683188579,270836590.0,1.002,0.998557,Tendencia estable
c1usd,0.999206,0.21619,2547975913,126552.0,1.022,0.992682,Tendencia estable
pyusd,0.999712,-0.02652,2543997408,212736509.0,1.001,0.999306,Tendencia estable
pol,0.23619,-1.00576,2481671907,83651832.0,0.245062,0.23511,Tendencia moderada bajista
pump,0.00694318,-2.05805,2459877713,540836549.0,0.00744165,0.00675002,Tendencia moderada bajista
icp,4.51,-0.27592,2426908863,65437625.0,4.7,4.48,Tendencia estable
jlp,5.87,-0.11497,2359074726,59670010.0,5.95,5.84,Tendencia estable
arb,0.434888,-1.73007,2349935457,261452107.0,0.45961,0.433746,Tendencia moderada bajista
zec,141.32,-2.39695,2302048623,426590138.0,150.65,125.95,Tendencia moderada bajista
susds,1.07,0.00202,2252339873,2612308.0,1.08,1.061,Tendencia estable
pi,0.259679,0.40107,2141335600,31357348.0,0.266269,0.258407,Tendencia estable
kas,0.077471,-2.3016,2072216615,46993923.0,0.081708,0.077082,Tendencia moderada bajista
kcs,15.97,-0.22603,2071938324,7499993.0,16.11,15.93,Tendencia estable
reth,5138.31,0.10406,2013478096,10566557.0,5239.34,5080.05,Tendencia estable
gt,16.88,2.9503,2010373167,29589664.0,17.55,16.39,Tendencia moderada alcista
vet,0.0230961,-1.2575,1985917014,40720426.0,0.02415076,0.02309114,Tendencia moderada bajista
atom,4.14,-2.40492,1951049828,111200368.0,4.35,4.13,Tendencia moderada bajista
pengu,0.03099702,0.37673,1948838361,348253890.0,0.03226834,0.0305652,Tendencia estable
algo,0.219355,-1.5063,1929517220,110258430.0,0.230138,0.218487,Tendencia moderada bajista
khype,48.59,-1.387,1920968078,32999999.0,51.01,48.09,Tendencia moderada bajista
rseth,4735.41,0.08885,1878219487,2448597.0,4831.42,4692.46,Tendencia estable
flr,0.02466176,-1.81217,1872387008,16610373.0,0.02530167,0.02457105,Tendencia moderada bajista
usdtb,0.999907,0.01365,1827406661,2895390.0,1.003,0.994711,Tendencia estable
render,3.49,-2.38944,1808306969,78959753.0,3.73,3.47,Tendencia moderada bajista
hash,0.03629558,-3.81852,1806487216,14498.47,0.03876687,0.03508314,Tendencia moderada bajista
sei,0.290456,-0.78806,1780397167,157933006.0,0.306116,0.289076,Tendencia estable
2z,0.501074,-2.96512,1741284241,199436106.0,0.543053,0.497003,Tendencia moderada bajista
usdf,0.99913,0.08435,1727611944,9367842.0,1.001,0.996285,Tendencia estable
bfusd,0.999666,-0.03388,1699680184,5342435.0,1.0,0.999484,Tendencia estable
oseth,4731.47,0.00749,1698282056,2733553.0,4828.36,4687.2,Tendencia estable
xpl,0.934114,6.35723,1687334652,2181016443.0,0.946736,0.839408,Tendencia fuerte alcista
lseth,4849.07,0.04895,1615194138,928482.0,4945.26,4810.3,Tendencia estable
fil,2.32,-0.24423,1611625657,195588522.0,2.43,2.31,Tendencia estable
bonk,2.041e-05,2.51931,1580861066,492212308.0,2.163e-05,1.977e-05,Tendencia moderada alcista
sky,0.067236,-1.76488,1571807370,18639772.0,0.07046,0.067243,Tendencia moderada bajista
trump,7.75,-0.12235,1549637101,268902466.0,7.9,7.71,Tendencia estable
qnt,104.73,-1.02427,1523589019,22001731.0,107.17,104.36,Tendencia moderada bajista
fet,0.582508,-1.59967,1516100167,73781959.0,0.61175,0.580604,Tendencia moderada bajista
lbtc,121989.0,1.39952,1496832545,13134758.0,123776.0,120011.0,Tendencia moderada alcista
imx,0.757627,7.23685,1470618842,98125456.0,0.806893,0.706498,Tendencia fuerte alcista
